Add Student, 2022-05-23 08:52:08.469
Add Teacher, 2022-05-23 08:52:08.486
Add Course, 2022-05-23 08:52:08.487
Add Schedule, 2022-05-23 08:52:08.487
Change Teacher, 2022-05-23 08:52:08.487
Change Interval, 2022-05-23 08:52:08.488
Upgrade Year, 2022-05-23 08:52:08.488
Delete Course, 2022-05-23 08:52:08.502
Delete Employee, 2022-05-23 08:52:08.503
Delete Student, 2022-05-23 08:52:08.51
Pay Monthly Fee, 2022-05-23 08:52:08.512
Add Student, 2022-05-23 08:52:49.545
Add Teacher, 2022-05-23 08:52:49.561
Add Course, 2022-05-23 08:52:49.561
Add Schedule, 2022-05-23 08:52:49.561
Change Teacher, 2022-05-23 08:52:49.561
Change Interval, 2022-05-23 08:52:49.561
Upgrade Year, 2022-05-23 08:52:49.561
Delete Course, 2022-05-23 08:52:49.577
Delete Employee, 2022-05-23 08:52:49.592
Delete Student, 2022-05-23 08:52:49.592
Pay Monthly Fee, 2022-05-23 08:52:49.592
Add Student, 2022-05-23 08:58:00.782
Add Teacher, 2022-05-23 08:58:00.814
Add Course, 2022-05-23 08:58:00.814
Add Schedule, 2022-05-23 08:58:00.814
Change Teacher, 2022-05-23 08:58:00.815
Change Interval, 2022-05-23 08:58:00.815
Upgrade Year, 2022-05-23 08:58:00.815
Delete Course, 2022-05-23 08:58:00.83
Delete Employee, 2022-05-23 08:58:00.831
Delete Student, 2022-05-23 08:58:00.854
Pay Monthly Fee, 2022-05-23 08:58:00.855
Add Student, 2022-05-23 08:58:29.348
Add Teacher, 2022-05-23 08:58:29.379
Add Course, 2022-05-23 08:58:29.379
Add Schedule, 2022-05-23 08:58:29.379
Change Teacher, 2022-05-23 08:58:29.379
Change Interval, 2022-05-23 08:58:29.379
Upgrade Year, 2022-05-23 08:58:29.379
Delete Course, 2022-05-23 08:58:29.394
Delete Employee, 2022-05-23 08:58:29.394
Delete Student, 2022-05-23 08:58:29.426
Pay Monthly Fee, 2022-05-23 08:58:29.426
Add Student, 2022-05-23 08:59:20.034
Add Teacher, 2022-05-23 08:59:20.086
Add Course, 2022-05-23 08:59:20.086
Add Schedule, 2022-05-23 08:59:20.086
Change Teacher, 2022-05-23 08:59:20.086
Change Interval, 2022-05-23 08:59:20.086
Upgrade Year, 2022-05-23 08:59:20.086
Delete Course, 2022-05-23 08:59:20.101
Delete Employee, 2022-05-23 08:59:20.101
Delete Student, 2022-05-23 08:59:20.133
Pay Monthly Fee, 2022-05-23 08:59:20.133
Add Student, 2022-05-23 08:59:39.318
Add Teacher, 2022-05-23 08:59:39.349
Add Course, 2022-05-23 08:59:39.349
Add Schedule, 2022-05-23 08:59:39.349
Change Teacher, 2022-05-23 08:59:39.349
Change Interval, 2022-05-23 08:59:39.349
Upgrade Year, 2022-05-23 08:59:39.349
Delete Course, 2022-05-23 08:59:39.381
Delete Employee, 2022-05-23 08:59:39.382
Delete Student, 2022-05-23 08:59:39.415
Pay Monthly Fee, 2022-05-23 08:59:39.415
Add Student, 2022-05-23 08:59:43.746
Add Teacher, 2022-05-23 08:59:43.778
Add Course, 2022-05-23 08:59:43.778
Add Schedule, 2022-05-23 08:59:43.778
Change Teacher, 2022-05-23 08:59:43.778
Change Interval, 2022-05-23 08:59:43.778
Upgrade Year, 2022-05-23 08:59:43.778
Delete Course, 2022-05-23 08:59:43.793
Delete Employee, 2022-05-23 08:59:43.793
Delete Student, 2022-05-23 08:59:43.824
Pay Monthly Fee, 2022-05-23 08:59:43.824
